,City,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
71,Labytnangi,-15.84,83,100,9.84,66.66,66.42
72,Urumqi,10.4,85,90,4.47,43.8,87.6
73,Takapau,75.0,56,71,8.99,-40.03,176.35
74,Mataura,63.84,69,96,8.68,-46.19,168.86
75,Luderitz,65.01,78,0,27.81,-26.65,15.16
76,Ust-Kuyga,-28.48,72,57,9.4,70.02,135.6
77,East London,62.6,59,0,9.17,-33.02,27.91
78,Vostok,21.27,84,4,3.8,46.49,135.88
79,Mamlyutka,-13.0,75,23,8.95,54.94,68.54
80,Cherskiy,-22.68,96,100,5.7,68.75,161.3
81,Jianning,39.2,86,25,4.47,27.83,113.15
82,Saint-Louis,76.93,9,3,10.65,16.33,-15.0
83,Mahebourg,71.38,94,75,1.9,-20.41,57.7
84,Vanimo,83.05,77,0,13.56,-2.67,141.3
85,Voh,80.19,77,10,13.91,-20.97,164.7
86,Nizwa,49.6,72,0,0.36,22.93,57.53
87,Torbay,29.14,100,90,5.82,47.67,-52.73
88,George Town,84.38,70,20,14.99,5.41,100.34
89,Abonnema,77.76,88,76,4.14,4.71,6.79
90,Luanda,80.6,83,75,4.7,-8.84,13.23
91,Khani,44.6,66,75,8.05,41.96,42.96
92,Ngunguru,75.88,89,86,4.0,-35.62,174.5
93,Charyshskoye,8.15,83,100,17.92,51.4,83.56
94,Cockburn Town,77.67,70,0,8.41,21.46,-71.14
95,Norrtaelje,36.81,100,90,10.29,59.76,18.7
96,Mehran,37.4,59,90,6.93,33.12,46.16
97,Dehloran,51.44,52,100,3.85,32.69,47.27
98,Klaksvik,30.2,100,0,3.36,62.23,-6.59
99,Port Blair,75.2,73,20,2.24,11.67,92.75
100,Rocha,61.48,86,0,10.2,-34.48,-54.33
101,Barrinha,75.2,88,40,4.7,-21.19,-48.16
102,Jodiya,61.16,63,0,3.89,22.69,70.31
103,Wamba,69.51,14,38,3.38,8.93,8.6
104,Anadyr,1.22,84,75,6.71,64.75,177.48
105,Hay River,-0.4,77,90,5.82,60.82,-115.8
106,Pareora,73.99,54,90,4.0,-44.49,171.21
107,Huarmey,71.96,75,100,3.02,-10.07,-78.15
108,Taurianova,59.47,62,40,1.12,38.36,16.01
109,Kralendijk,78.8,83,0,5.82,12.15,-68.27
110,Yeniseysk,16.81,95,100,5.14,58.45,92.17
111,Tigre,77.05,69,0,10.29,-34.43,-58.58
112,Sola,82.87,78,83,13.71,-13.88,167.55
113,Kapaa,78.06,61,1,5.82,22.08,-159.32
114,La Ronge,21.2,92,90,3.38,55.1,-105.28
115,Upernavik,-14.35,94,74,7.23,72.79,-56.15
116,Avarua,78.8,94,84,9.17,-21.21,-159.78
117,Amga,-20.47,95,39,2.42,60.9,131.96
118,San Patricio,75.2,83,5,5.82,19.22,-104.7
119,Hasaki,55.36,76,20,13.87,35.73,140.83
120,Bluff,55.45,93,100,14.03,-46.6,168.33
121,Airai,86.11,49,55,3.89,-8.93,125.41
122,Evensk,16.11,94,100,2.59,61.95,159.23
123,Khanbari,40.57,43,0,1.32,27.37,87.2
124,Lagoa,62.64,91,12,22.48,39.05,-27.98
125,Oranjemund,60.17,94,34,8.84,-28.55,16.43
126,Port Elizabeth,68.0,77,75,13.87,-33.92,25.57
127,Pendleton,42.6,70,75,6.93,45.67,-118.79
128,Saint-Joseph,74.37,60,20,6.93,-21.37,55.62
129,Namatanai,86.27,72,0,15.82,-3.67,152.43
130,Victor Harbor,87.19,30,0,10.29,-35.57,138.62
131,Batagay,-26.46,73,6,4.07,67.63,134.63
132,Luebo,70.05,82,85,1.66,-5.35,21.42
133,Mount Gambier,86.0,23,0,9.17,-37.83,140.77
134,Huilong,44.15,56,0,14.16,31.81,121.66
135,Hithadhoo,81.12,78,76,15.68,-0.6,73.08
136,Imbituba,75.2,100,40,4.7,-28.24,-48.67
137,Narsaq,10.4,78,38,4.7,60.92,-46.05
138,Amparafaravola,66.92,96,100,1.07,-17.58,48.22
139,Jalu,52.18,77,0,6.44,29.03,21.55
140,Provideniya,-4.0,64,2,2.24,64.38,-173.3
141,Yellowknife,-3.39,83,90,5.82,62.46,-114.35
142,Lujan,76.05,69,0,10.29,-34.57,-59.1
143,Calbuco,51.8,87,75,5.82,-41.77,-73.13
144,Norman Wells,-22.0,74,75,9.17,65.28,-126.83
145,Pallasovka,29.48,94,100,15.64,50.05,46.88
146,Port Lincoln,89.6,25,0,13.87,-34.73,135.87
147,La Romana,73.4,94,40,4.12,18.43,-68.97
148,Natal,80.62,78,40,8.05,-5.79,-35.21
149,Flin Flon,10.67,96,100,4.47,54.77,-101.86
150,Santa Cruz de la Sierra,78.8,83,40,5.82,-17.8,-63.17
151,Kodiak,23.0,79,90,19.46,57.79,-152.41
152,Vardo,22.17,65,100,17.52,70.37,31.11
153,Vila Franca do Campo,62.6,88,75,24.16,37.72,-25.43
154,Birin,47.43,76,0,1.83,26.89,88.07
155,Samana,68.88,96,45,0.51,19.21,-69.34
156,Guadalupe y Calvo,43.38,35,0,6.89,26.1,-106.97
157,Puerto Rondon,79.21,61,55,6.08,6.28,-71.1
158,Laas,23.92,85,90,6.93,46.62,10.7
159,Silver City,34.14,45,1,10.29,32.77,-108.28
160,Ciudad Lazaro Cardenas,70.57,71,56,1.74,17.96,-102.2
161,Leh,-4.63,85,87,2.59,34.17,77.58
162,Cervo,51.89,1,100,6.82,43.67,-7.41
163,Muyezerskiy,14.63,93,100,7.9,63.93,31.65
164,Chokurdakh,-19.61,97,100,10.6,70.63,147.92
165,Thompson,10.4,92,90,5.82,55.74,-97.86
166,Sitka,38.26,86,90,9.17,57.05,-135.33
167,Saldanha,66.2,82,92,9.17,-33.01,17.94
168,Hong Kong,55.89,40,0,9.17,22.29,114.16
169,La Rioja,46.24,87,90,3.36,42.25,-2.5
170,Dwarka,68.72,53,0,12.1,22.24,68.97
171,Ayame,74.66,92,66,0.96,5.61,-3.16
172,Vao,77.29,72,16,12.66,-22.67,167.48
173,Nar'yan-Mar,-16.62,98,54,7.11,67.67,53.09
174,Ribeira Grande,62.6,93,75,14.99,38.52,-28.7
175,Pogar,30.07,92,89,7.78,52.55,33.26
176,Skibbereen,39.2,80,40,13.87,51.55,-9.27
177,Sabang,80.65,68,100,8.66,5.89,95.32
178,Ponta Delgada,62.6,88,75,24.16,37.73,-25.67
179,Lompoc,56.05,66,1,8.05,34.64,-120.46
180,Mossamedes,75.15,77,100,7.81,-15.2,12.15
181,Marakkanam,76.37,78,16,4.25,12.2,79.95
182,San Jorge,76.44,42,96,5.84,-31.9,-61.86
183,Makakilo City,78.31,61,90,8.05,21.35,-158.09
184,Faya,52.66,87,40,13.87,18.39,42.45
185,Jining,42.93,46,0,7.61,35.41,116.58
186,Sisimiut,-6.16,98,100,3.4,66.94,-53.67
187,Bambous Virieux,71.44,94,75,1.97,-20.34,57.76
188,Kavieng,84.22,75,25,6.96,-2.57,150.8
189,Bredasdorp,65.79,88,100,4.81,-34.53,20.04
190,Dabat,48.81,42,26,0.67,12.98,37.77
191,Jiangyou,43.07,51,0,2.15,31.77,104.72
192,Zhigalovo,7.47,93,4,2.82,54.81,105.16
193,Nenton,58.19,94,3,3.71,15.8,-91.75
194,Xinzhou,26.06,61,65,2.39,38.41,112.73
195,Bariloche,48.2,45,20,11.41,-41.15,-71.31
196,Khatanga,-12.26,97,98,0.56,71.97,102.5
197,Faanui,83.43,70,81,5.01,-16.48,-151.75
198,Devils Lake,15.8,85,90,11.41,48.11,-98.87
199,Severodvinsk,-18.4,82,100,4.47,64.56,39.83
200,Iskateley,-16.62,98,54,7.11,67.68,53.15
201,Fairbanks,-26.25,73,1,4.7,64.84,-147.72
202,Itaituba,74.12,96,96,2.17,-4.28,-55.98
203,Souillac,71.35,94,75,1.9,-20.52,57.52
204,Northam,39.85,86,40,8.05,51.03,-4.22
205,Tuktoyaktuk,-18.4,75,90,5.82,69.45,-133.04
206,Saint-Leu,74.32,60,20,6.93,-21.15,55.28
207,Saint George,41.52,48,1,1.39,37.1,-113.58
208,Severo-Kuril'sk,25.9,85,100,3.33,50.68,156.12
209,Weligama,75.18,74,53,7.49,5.97,80.42
210,Abalak,-16.01,98,15,4.85,58.13,68.59
211,Lamu,81.73,81,61,14.99,-2.27,40.9
212,Diapaga,67.23,9,2,7.49,12.07,1.79
213,Saint-Philippe,74.35,60,20,6.93,-21.36,55.77
214,Tres Arroyos,63.88,85,100,15.12,-38.37,-60.28
215,Lulea,17.6,85,100,5.82,65.58,22.15
216,Ketchikan,44.51,87,90,46.08,55.34,-131.65
217,Waynesville,34.2,60,1,1.14,35.49,-82.99
218,Vila Velha,79.93,88,75,12.75,-20.33,-40.29
219,Burnie,71.49,53,18,8.01,-41.07,145.92
220,Ilo,74.35,85,85,5.86,-17.64,-71.34
221,Dongsheng,22.21,74,64,9.31,39.82,109.98
222,Bosaso,73.6,58,0,23.64,11.28,49.18
223,Dingle,84.04,68,21,7.18,11.0,122.67
224,Ordzhonikidze,-6.83,87,0,5.39,52.44,61.74
225,Umea,23.0,100,100,6.93,63.83,20.26
226,Zhuhai,54.99,58,0,21.92,22.28,113.57
227,Ibotirama,70.39,95,100,2.95,-12.19,-43.22
228,Te Horo,69.78,73,20,16.11,-40.81,175.12
229,Lavrentiya,-12.53,67,0,8.75,65.58,-171.0
230,Zhigansk,-16.74,95,100,25.79,66.77,123.37
231,Jieshi,56.19,49,0,7.16,22.81,115.83
232,Tasiilaq,30.2,80,100,23.04,65.61,-37.64
233,Kutum,44.13,27,0,3.62,14.2,24.67
234,Paveh,32.0,62,100,4.18,35.04,46.36
235,Bumba,69.46,46,0,1.79,2.18,22.47
236,Comodoro Rivadavia,64.4,49,40,17.22,-45.87,-67.5
237,Portland,47.82,81,90,5.82,45.52,-122.68
238,Buenos Aires,76.77,61,0,11.41,-34.61,-58.38
239,San Quintin,59.86,77,0,10.54,30.48,-115.95
240,Yanam,73.4,83,20,6.93,16.73,82.22
241,Santa Ana,59.22,67,1,3.62,33.75,-117.87
242,Prince Rupert,44.6,75,90,16.11,54.32,-130.32
243,Saskylakh,-10.16,98,100,7.76,71.92,114.08
244,Esim,76.03,90,59,1.66,4.87,-2.24
245,Jatiroto,86.0,84,40,3.36,-7.88,111.12
246,Mecca,68.65,68,95,1.21,21.43,39.83
247,Birjand,23.0,79,0,4.7,32.87,59.22
248,Aguimes,63.41,29,78,4.7,27.91,-15.45
249,Durban,61.45,88,5,1.12,-29.86,31.03
250,Isangel,84.2,66,75,4.7,-19.55,169.27
251,Olinda,82.4,74,75,6.93,-8.01,-34.86
252,Mezen,-2.76,90,77,5.95,65.85,44.24
253,Bajram Curri,53.6,87,90,9.17,42.36,20.08
254,Codrington,68.23,63,0,4.43,-38.27,141.97
255,Lebu,53.08,66,0,10.63,-37.62,-73.65
256,Shorap'ani,44.6,66,75,8.05,42.09,43.09
257,Kaitangata,63.0,82,100,5.99,-46.28,169.85
258,Tezu,61.2,39,0,2.93,27.92,96.17
259,Okha,7.47,86,0,9.48,53.57,142.95
260,Acapulco de Juarez,80.6,69,5,5.82,16.86,-99.89
261,Kaeo,76.15,73,58,8.99,-35.1,173.78
262,Kruisfontein,65.41,78,89,8.19,-34.0,24.73
263,Flinders,78.93,54,40,10.29,-34.58,150.86
264,Richards Bay,70.88,83,79,13.44,-28.78,32.04
265,Saint Anthony,17.17,78,90,5.82,45.02,-93.22
266,Bilma,64.15,8,100,7.85,18.69,12.92
267,Sinnamary,80.24,84,96,18.59,5.38,-52.95
268,San Cristobal,78.8,74,40,4.7,7.77,-72.22
269,Ilulissat,1.4,59,100,10.29,69.22,-51.1
270,Esperance,69.8,83,90,8.05,-33.87,121.9
271,Dekar,72.84,56,0,3.98,-21.53,21.93
272,Maniitsoq,7.65,62,98,6.15,65.42,-52.9
273,Foz do Iguacu,78.82,83,52,3.36,-25.55,-54.59
274,Apaseo el Alto,59.0,19,40,2.06,20.45,-100.62
275,Pemangkat,85.33,72,100,9.06,1.17,108.97
276,Tazovsky,1.74,96,100,9.78,67.47,78.7
277,Khandyga,-25.42,95,0,0.78,62.67,135.6
278,Ulaangom,-5.98,97,71,4.52,49.98,92.07
279,Moerai,78.75,81,100,15.59,-22.43,-151.33
280,Gushi,44.58,39,0,5.01,34.64,109.58
281,Praia da Vitoria,64.4,88,75,26.87,38.73,-27.07
282,Halifax,26.96,92,90,16.11,44.65,-63.57
283,Vera Cruz,68.45,93,100,1.88,-12.63,-41.03
284,Nelson Bay,78.73,74,75,14.99,-32.72,152.15
285,Eirunepe,76.26,87,89,4.07,-6.66,-69.87
286,Kabakovo,-16.6,75,91,6.71,54.54,56.15
287,Gainesville,44.74,86,75,4.76,29.65,-82.32
288,Bima,88.16,64,100,3.09,-8.47,118.72
289,Dalvik,23.0,92,90,3.36,65.97,-18.53
290,Talnakh,10.4,78,75,15.66,69.49,88.4
291,Amapa,72.73,99,100,2.04,1.0,-52.0
292,Baykit,9.23,96,100,2.82,61.67,96.37
293,Langsa,82.36,70,100,7.36,4.47,97.97
294,Santiago del Estero,80.46,49,10,10.11,-27.8,-64.26
295,North Bend,50.23,87,90,6.93,43.41,-124.22
296,Sala,35.02,86,75,11.41,48.15,17.88
297,Caravelas,79.66,85,100,11.48,-17.71,-39.25
298,Hualmay,71.01,80,100,3.65,-11.1,-77.61
299,Arraial do Cabo,77.77,90,32,5.01,-22.97,-42.03
300,Cooma,80.6,30,29,14.99,-36.23,149.13
301,Shelburne,26.82,92,90,7.85,44.08,-80.2
302,Loreto,53.94,36,0,11.61,22.27,-101.97
303,Baracoa,75.34,76,64,6.64,20.35,-74.5
304,Rancho Palos Verdes,59.63,76,5,4.7,33.74,-118.39
305,Longyearbyen,-2.51,89,100,5.03,78.22,15.64
306,Lydenburg,55.04,92,0,1.19,-25.1,30.46
307,Tessalit,66.76,20,0,9.64,20.2,1.01
308,Iqaluit,-27.22,67,5,14.99,63.75,-68.51
309,Alihe,11.89,70,0,2.8,50.57,123.72
310,Zaragoza,45.54,100,75,2.24,41.66,-0.88
311,Monrovia,75.2,94,20,4.43,6.3,-10.8
312,Kyle,50.34,57,1,11.41,30.0,-97.87
313,Leningradskiy,-7.01,95,100,3.51,69.38,178.42
314,Dunedin,66.99,73,100,4.0,-45.87,170.5
315,Rome,26.38,79,90,11.41,43.21,-75.46
316,Bama,53.37,27,0,2.62,11.52,13.69
317,Pakokku,68.43,44,0,7.11,21.33,95.1
318,Male,82.4,74,75,13.87,4.17,73.51
319,Marawi,84.0,82,37,5.99,8.0,124.29
320,Obera,71.2,68,19,2.17,-27.49,-55.12
321,Yertsevo,9.05,94,100,6.31,60.8,40.09
322,Jaisalmer,59.56,38,0,7.61,26.91,70.92
323,Carnarvon,80.6,74,45,19.46,-24.87,113.63
324,Chatham,37.36,86,67,13.87,51.38,0.53
325,Fort Nelson,-0.4,84,75,2.73,58.81,-122.7
326,Katsuura,61.43,67,75,11.41,35.13,140.3
327,Ambilobe,75.24,92,100,2.8,-13.2,49.05
328,Syracuse,51.19,100,20,6.93,37.09,15.28
329,Vaitape,83.43,70,81,5.01,-16.52,-151.75
330,Kyabe,64.62,15,0,5.23,9.45,18.94
331,Madang,84.56,68,0,6.67,-5.22,145.8
332,Peniche,57.04,93,40,5.82,39.36,-9.38
333,Isla Mujeres,77.0,78,40,5.82,21.23,-86.73
334,Kendari,87.31,71,100,3.49,-3.94,122.5
335,Lucapa,67.14,96,100,1.86,-8.42,20.74
336,Mehamn,16.7,75,42,19.71,71.04,27.85
337,Laguna,51.67,81,1,3.36,38.42,-121.42
338,Ossora,19.26,95,100,6.8,59.24,163.07
339,Omsukchan,-9.87,98,100,6.93,62.53,155.8
340,Alekseyevsk,12.97,84,100,2.26,57.84,108.35
341,Paramonga,70.83,88,100,10.22,-10.67,-77.83
342,Tual,84.4,78,57,17.05,-5.67,132.75
343,Ambon,95.0,50,20,8.05,-3.7,128.18
344,Fukuecho,50.76,93,75,8.05,32.69,128.84
345,Xudat,35.28,76,94,3.49,41.63,48.68
346,Springbok,58.19,33,94,2.82,-29.66,17.89
347,Ajdabiya,60.58,62,0,6.91,30.76,20.23
348,Lasem,82.69,75,100,2.21,-6.69,111.45
349,Waingapu,84.04,72,63,8.03,-9.66,120.26
350,Ciudad del Maiz,64.0,50,2,5.01,22.4,-99.6
351,Nantucket,36.27,64,90,14.99,41.28,-70.1
352,Horki,30.16,93,100,13.09,54.29,30.98
353,Hambantota,71.6,100,75,2.24,6.12,81.12
354,Capinzal,62.8,95,0,3.58,-27.34,-51.61
355,Concordia,75.0,70,100,1.99,-31.39,-58.02
356,Korla,30.0,84,0,2.46,41.76,86.15
357,Atemar,20.34,95,98,10.04,54.18,45.41
358,Cidreira,74.75,83,57,19.71,-30.18,-50.21
359,Mumford,74.79,92,100,1.34,5.26,-0.76
360,Beinamar,62.92,17,9,2.28,8.67,15.38
361,Shingu,53.6,76,75,10.29,33.73,135.98
362,Lautaro,49.69,81,0,1.12,-38.52,-72.45
363,Meulaboh,79.54,80,88,5.12,4.14,96.13
364,Elko,34.88,69,90,9.17,41.0,-115.5
365,North Adams,29.35,68,90,9.17,42.7,-73.11
366,Nome,-13.77,62,1,5.28,64.5,-165.41
367,Abu Dhabi,58.15,87,0,2.24,24.47,54.37
368,Broome,27.86,92,90,8.05,42.25,-75.83
369,Marsh Harbour,70.5,74,25,11.59,26.54,-77.06
370,Karakol,12.09,33,1,4.18,42.49,78.39
371,Galveston,56.16,93,1,4.7,29.37,-94.97
372,Deputatsky,-21.23,68,100,3.94,69.3,139.9
373,Nishihara,62.04,63,75,13.87,26.18,127.76
374,Pochutla,77.9,74,20,11.39,15.74,-96.47
375,Price,29.46,86,40,4.7,39.6,-110.81
376,Bilibino,-7.35,99,100,4.72,68.05,166.44
377,Puerto Madero,75.2,88,40,2.24,14.72,-92.42
378,Kushiro,28.4,79,75,10.29,42.98,144.37
379,Bonavista,28.99,88,100,1.99,48.65,-53.11
380,Malbork,36.36,73,75,18.34,54.04,19.03
381,Copiapo,66.2,82,0,2.24,-27.37,-70.33
382,Carinhanha,68.56,97,100,1.3,-14.3,-43.77
383,Chapais,3.2,84,75,6.93,49.78,-74.85
384,Taltal,62.87,90,0,2.46,-25.4,-70.48
385,Kurchum,12.58,83,59,9.51,48.57,83.65
386,West Fargo,10.27,85,90,4.7,46.88,-96.9
387,Chandler,55.09,30,1,5.82,33.31,-111.84
388,Zhetysay,31.77,83,9,0.67,40.73,68.3
389,Caceres,53.01,95,91,1.01,39.52,-6.37
390,Puerto Narino,78.8,100,75,4.7,-3.77,-70.38
391,Privolzhye,15.08,94,100,10.22,52.86,48.6
392,Hirara,62.6,72,75,10.29,24.8,125.28
393,Wau,61.54,18,31,5.19,7.7,28.0
394,Port-Gentil,82.67,77,20,7.07,-0.72,8.78
395,Itarema,76.08,89,99,2.46,-2.92,-39.92
396,Artigas,76.86,48,100,6.67,-30.4,-56.47
397,Port Harcourt,76.12,83,91,3.02,4.78,7.01
398,Fortuna,49.3,93,90,3.36,40.6,-124.16
399,Flagstaff,38.12,58,1,3.18,35.2,-111.65
400,Carutapera,81.91,81,90,12.86,-1.2,-46.02
401,Timra,31.44,98,90,16.11,62.49,17.33
402,Udachny,-2.2,84,0,4.47,66.42,112.4
403,Hailun,12.36,79,0,12.39,47.45,126.93
404,Jinchang,28.0,16,0,3.15,38.5,102.17
405,Kuytun,6.22,96,90,4.56,54.34,101.5
406,Bria,60.31,28,5,4.18,6.54,21.99
407,Denpasar,89.6,70,20,5.82,-8.65,115.22
408,Mataundh,63.25,73,71,2.64,25.45,80.15
409,Swellendam,66.2,88,99,3.09,-34.02,20.44
410,Rosario do Sul,74.1,50,100,7.09,-30.26,-54.91
411,Seoul,45.36,49,20,3.36,37.57,126.98
412,Mandalgovi,8.37,80,0,8.57,45.76,106.27
413,Makarov,12.13,88,100,10.74,48.63,142.8
414,Wodonga,93.58,18,0,5.82,-36.12,146.88
415,Sao Felix do Xingu,71.04,97,83,1.52,-6.64,-51.99
416,Jitauna,71.4,98,100,1.83,-14.02,-39.89
417,Alta Floresta,69.8,96,100,1.92,-9.88,-56.09
418,Calama,57.2,54,20,1.12,-22.47,-68.93
419,Hoquiam,47.55,100,90,5.26,46.98,-123.89
420,Caibarien,69.8,100,75,2.24,22.52,-79.47
421,Santa Rosa,83.03,74,40,71.36,14.31,121.11
422,Petropavlovsk-Kamchatsky,28.4,63,17,2.24,53.05,158.65
423,Makubetsu,28.4,79,75,14.99,45.37,141.82
424,Rawson,59.77,59,0,17.94,-43.3,-65.1
425,Dalbandin,40.21,64,0,6.24,28.89,64.41
426,Lata,54.36,93,40,5.82,40.16,-8.33
427,Kulhudhuffushi,81.84,65,0,9.93,6.62,73.07
428,Kem,12.27,93,100,9.08,64.96,34.58
429,Makaleng,66.02,79,0,6.55,-20.9,27.28
430,Kwekwe,61.95,87,5,4.81,-18.93,29.81
431,Port Hedland,93.2,67,83,14.99,-20.32,118.57
432,Payo,76.33,80,98,3.4,-3.75,103.64
433,Vila,53.64,100,90,8.05,42.03,-8.16
434,High Level,6.8,84,5,3.58,58.52,-117.14
435,Channel-Port aux Basques,28.04,80,96,11.92,47.57,-59.14
436,Nicoya,74.7,88,75,3.36,10.15,-85.45
437,Namikupa,71.11,97,100,0.69,-10.83,39.6
438,Lewistown,34.29,59,90,9.17,40.6,-77.57
439,Labuhan,87.22,66,92,2.73,-6.88,112.21
440,Mazagao,80.6,100,20,9.17,-0.12,-51.29
441,Road Town,77.4,88,20,10.04,18.42,-64.62
442,San Jeronimo,41.61,93,100,2.51,-11.95,-75.28
443,Olafsvik,30.63,76,0,14.2,64.89,-23.71
444,Kaka,34.56,75,0,8.88,37.35,59.61
445,Viedma,56.52,86,9,4.74,-40.81,-63.0
446,'Ahuimanu,77.5,74,75,10.29,21.44,-157.84
447,Garissa,76.23,80,51,6.22,-0.45,39.64
448,Vung Tau,83.46,59,89,9.86,10.35,107.08
449,Wanaka,61.93,52,78,9.22,-44.7,169.15
450,Shibetsu,30.2,74,75,8.05,43.66,145.13
451,Boysun,30.47,78,7,1.16,38.21,67.2
452,Ostrovnoy,3.87,93,18,4.25,68.05,39.51
453,Daru,94.35,46,71,5.59,-9.08,143.21
454,Cabo San Lucas,65.05,77,5,4.7,22.89,-109.91
455,Mandal,54.93,55,0,3.47,25.45,74.57
456,Payakumbuh,67.06,96,100,3.94,-0.22,100.63
457,Poum,79.66,79,0,19.77,-20.23,164.02
458,Grand Gaube,71.85,94,75,5.91,-20.01,57.66
459,Coahuayana Viejo,64.4,88,5,3.65,18.73,-103.68
460,Kasongo-Lunda,67.48,98,100,1.72,-6.47,16.82
461,Santa Cruz de la Palma,59.22,72,100,6.93,28.68,-17.76
462,Timizart,60.55,61,81,11.97,36.8,4.27
463,Nuevitas,66.2,88,32,1.12,21.55,-77.26
464,Tefe,76.69,86,80,1.92,-3.35,-64.71
465,Nuuk,10.4,78,93,12.75,64.18,-51.72
466,Mayumba,81.95,81,100,10.4,-3.43,10.66
467,Logumkloster,38.19,86,20,9.17,55.06,8.96
468,Makokou,70.95,90,59,2.21,0.57,12.86
469,Hauzenberg,32.79,74,75,6.93,48.65,13.63
470,Kuching,78.31,94,75,3.36,1.55,110.33
471,Mabai,44.47,91,100,3.29,23.01,104.45
472,Izumo,52.63,66,75,16.11,35.37,132.77
473,Babu,50.16,54,18,7.49,24.42,111.52
474,Coquimbo,64.4,82,90,5.82,-29.95,-71.34
475,Aniva,23.0,85,100,8.95,46.71,142.53
476,Esmeralda,66.2,88,87,1.12,21.85,-78.12
